city_id,canonical_name,canton,pattern
zurich,Zurich,ZH,\b(Zürich|Zurich)\b
winterthur,Winterthur,ZH,\bWinterthur\b
uster,Uster,ZH,\bUster\b
dietikon,Dietikon,ZH,\bDietikon\b
geneva,Geneva,GE,\b(Genève|Geneva|Genf|Ginevra)\b
carouge,Carouge,GE,\bCarouge\b
meyrin,Meyrin,GE,\bMeyrin\b
lancy,Lancy,GE,\bLancy\b
vernier,Vernier,GE,\bVernier\b
lausanne,Lausanne,VD,\bLausanne\b
yverdon_les_bains,Yverdon-les-Bains,VD,\bYverdon(?:-les)?-Bains\b
nyon,Nyon,VD,\bNyon\b
montreux,Montreux,VD,\bMontreux\b
vevey,Vevey,VD,\bVevey\b
renens,Renens,VD,\bRenens\b
morges,Morges,VD,\bMorges\b
pully,Pully,VD,\bPully\b
basel,Basel,BS,\b(Basel|Bâle|Basilea)\b
bern,Bern,BE,\b(Bern|Berne)\b
biel_bienne,Biel/Bienne,BE,\b(Biel|Bienne)\b
thun,Thun,BE,\bThun\b
neuchatel,Neuchâtel,NE,\b(Neuchâtel|Neuenburg)\b
fribourg,Fribourg,FR,\b(Fribourg|Freiburg)\b
bulle,Bulle,FR,\bBulle\b
lugano,Lugano,TI,\bLugano\b
bellinzona,Bellinzona,TI,\bBellinzona\b
locarno,Locarno,TI,\bLocarno\b
zug,Zug,ZG,\bZug\b
baar,Baar,ZG,\bBaar\b
cham,Cham,ZG,\bCham\b
lucerne,Lucerne,LU,\b(Lucerne|Luzern|Lucerna)\b
emmen,Emmen,LU,\bEmmen\b
kriens,Kriens,LU,\bKriens\b
st_gallen,St. Gallen,SG,\b(St\.?\s?Gallen|Saint Gallen)\b
rapperswil_jona,Rapperswil-Jona,SG,\bRapperswil-?Jona\b
wil,Wil,SG,\bWil\b
sion,Sion,VS,\b(Sion|Sitten)\b
martigny,Martigny,VS,\bMartigny\b
monthey,Monthey,VS,\bMonthey\b
schaffhausen,Schaffhausen,SH,\bSchaffhausen\b
aarau,Aarau,AG,\bAarau\b
baden,Baden,AG,\bBaden\b
chur,Chur,GR,\b(Chur|Coira)\b
solothurn,Solothurn,SO,\b(Solothurn|Soleure)\b
olten,Olten,SO,\bOlten\b
delemont,Delémont,JU,\b(Delémont|Delsberg)\b
frauenfeld,Frauenfeld,TG,\bFrauenfeld\b
liestal,Liestal,BL,\bLiestal\b
herisau,Herisau,AR,\bHerisau\b
appenzell,Appenzell,AI,\bAppenzell\b
glarus,Glarus,GL,\bGlarus\b
altdorf,Altdorf,UR,\bAltdorf\b
sarnen,Sarnen,OW,\bSarnen\b
stans,Stans,NW,\bStans\b
