"duration_id","canonical_name","pattern"
"1_months","1 month","(?i)(?<![\w-])(?:eins|eine|uno|one|une|un|a|1)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"2_months","2 months","(?i)(?<![\w-])(?:zwei|deux|due|two|2)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"3_months","3 months","(?i)(?<![\w-])(?:three|trois|drei|tre|3)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"4_months","4 months","(?i)(?<![\w-])(?:quattro|quatre|four|vier|4)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"5_months","5 months","(?i)(?<![\w-])(?:cinque|fünf|cinq|five|5)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"6_months","6 months","(?i)(?<![\w-])(?:sechs|six|sei|6)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"7_months","7 months","(?i)(?<![\w-])(?:sieben|sette|seven|sept|7)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"8_months","8 months","(?i)(?<![\w-])(?:eight|huit|acht|otto|8)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"9_months","9 months","(?i)(?<![\w-])(?:nine|neuf|neun|nove|9)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"10_months","10 months","(?i)(?<![\w-])(?:dieci|zehn|ten|dix|10)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"11_months","11 months","(?i)(?<![\w-])(?:undici|eleven|onze|elf|11)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"1_years","1 year","(?i)(?<![\w-])(?:eins|eine|uno|one|une|un|a|1)(?![\w-])\s*(?:years?|ans?|anni|anno|jahr[e]?)\b|(?<![\w-])(?:twelve|dodici|douze|zwölf|12)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"2_years","2 years","(?i)(?<![\w-])(?:zwei|deux|due|two|2)(?![\w-])\s*(?:years?|ans?|anni|anno|jahr[e]?)\b|(?<![\w-])(?:vierundzwanzig|ventiquattro|vingt\-quatre|twenty\-four|24)(?![\w-])\s*(?:months?|mois|mesi|mese|monat[e]?)\b"
"3_years","3 years","(?i)(?<![\w-])(?:three|trois|drei|tre|3)(?![\w-])\s*(?:years?|ans?|anni|anno|jahr[e]?)\b"
"4_years","4 years","(?i)(?<![\w-])(?:quattro|quatre|four|vier|4)(?![\w-])\s*(?:years?|ans?|anni|anno|jahr[e]?)\b"
"5_years","5 years","(?i)(?<![\w-])(?:cinque|fünf|cinq|five|5)(?![\w-])\s*(?:years?|ans?|anni|anno|jahr[e]?)\b"
"6_years","6 years","(?i)(?<![\w-])(?:sechs|six|sei|6)(?![\w-])\s*(?:years?|ans?|anni|anno|jahr[e]?)\b"
"7_years","7 years","(?i)(?<![\w-])(?:sieben|sette|seven|sept|7)(?![\w-])\s*(?:years?|ans?|anni|anno|jahr[e]?)\b"
"8_years","8 years","(?i)(?<![\w-])(?:eight|huit|acht|otto|8)(?![\w-])\s*(?:years?|ans?|anni|anno|jahr[e]?)\b"
"9_years","9 years","(?i)(?<![\w-])(?:nine|neuf|neun|nove|9)(?![\w-])\s*(?:years?|ans?|anni|anno|jahr[e]?)\b"
"10_years","10 years","(?i)(?<![\w-])(?:dieci|zehn|ten|dix|10)(?![\w-])\s*(?:years?|ans?|anni|anno|jahr[e]?)\b"
