category_id,canonical_name,pattern
data_collection,Data Collection & Preparation,\b(collect\w*|gather\w*|clean\w*|cleans\w*|prepar\w*|integrat\w*|transform\w*|extract\w*|collecte\w*|nettoy\w*|préparat\w*|intégrat\w*|extraire|erfass\w*|sammel\w*|bereinig\w*|aufbereit\w*|integrier\w*|transformier\w*|extrahier\w*|raccolt\w*|raccoglie\w*|puliz\w*|pulire|preparazion\w*|preparare|integrazion\w*|integrare|trasformazion\w*|trasformare|estrarre)\b
data_analysis,Data Analysis,\b(analy[sz]\w*|trend\w*|pattern\w*|insight\w*|root cause\w*|correlation\w*|tendance\w*|corrélation\w*|modèle\w*|Trend\w*|Muster|Erkenntnis\w*|Korrelation\w*|tendenz\w*|correlazion\w*)\b
reporting_bi,Reporting & BI,\b(dashboard\w*|report\w*|reporting|visuali[sz]ation\w*|Power ?BI|Tableau|tableau de bord|rapport\w*|visualisation\w*|Bericht\w*|Berichterstattung|Visualisierung\w*|cruscott\w*|reportistic\w*|visualizzazion\w*)\b
data_governance,Data Governance & Quality,\b(data quality|governance|consistenc\w*|accura\w*|standard\w*|documentation\w*|qualité des données|cohérence\w*|précision\w*|documentation\w*|Datenqualität|Konsistenz\w*|Genauigkeit\w*|Dokumentation\w*|qualità dei dati|coerenz\w*|accuratezz\w*|documentazion\w*)\b
data_engineering_etl,Data Engineering / ETL,\b(ETL|pipeline\w*|data ?warehous\w*|automat\w*|ingest\w*|entrepôt de données|automatisation\w*|ingestion\w*|Data ?Warehouse\w*|Automatisierung\w*|automazion\w*|ingestion\w*)\b
stakeholder_management,Stakeholder Management,\b(business teams?|stakeholder\w*|collaborat\w*|requirement\w*|liaise\w*|équipes? métiers?|parties prenantes|collaborer|exigences?|besoins?|Fachbereich\w*|zusammenarbeit\w*|Anforderung\w*|team\w* di business|collaborare|requisit\w*)\b
presentation_communication,Presentation & Communication,\b(present\w*|communicat\w*|finding\w*|recommendation\w*|présent\w*|communiquer|résultats?|recommandation\w*|präsentier\w*|Präsentation\w*|kommunizier\w*|Ergebniss?e?|Empfehlung\w*|presentare|presentazion\w*|comunicare|risultat\w*|raccomandazion\w*)\b
strategic_decision_support,Strategic / Decision Support,\b(decision\w*|opportunit\w*|strategy|strategic\w*|décision\w*|opportunité\w*|stratégi\w*|Entscheidung\w*|Chance\w*|Strategie\w*|strategisch\w*|decision\w*|opportunità|strategi\w*)\b
process_improvement,Process Improvement,\b(continuous improvement|optimi[sz]\w*|streamlin\w*|efficienc\w*|amélioration continue|optimiser|rationaliser|efficacité|kontinuierliche Verbesserung|optimier\w*|Effizienz\w*|miglioramento continuo|ottimizzare|efficienz\w*)\b
project_coordination,Project / Stakeholder Coordination,\b(coordinat\w*|timeline\w*|project management|coordonn\w*|coordination\w*|délais?|gestion de projet|koordinier\w*|Koordination\w*|Zeitplan\w*|Projektmanagement|coordinare|coordinamento\w*|tempistich\w*|gestione del progetto)\b
mentoring_team_support,Mentoring / Team Support,\b(mentor\w*|train\w*|coach\w*|support\w* junior\w*|mentorat\w*|former|formation\w*|coacher|encadrer|mentoring|schul\w*|Schulung\w*|coachen|unterstütz\w*|formare|formazion\w*|supportare)\b
compliance_security,Compliance / Security,\b(complian\w*|GDPR|privacy|security|access control\w*|conformité\w*|RGPD|confidentialité\w*|sécurité\w*|Compliance|DSGVO|Datenschutz\w*|Sicherheit\w*|conformità\w*|sicurezza\w*)\b
